№ ВД	1.К-сть одержаних бюлетенів	2.К-сть виборців, внесених до списку	3.К-сть виборців, внесених до витягу для голос. за місцем перебув.	4.К-сть невикор. бюлетенів	5.К-сть виборців, які отримали бюлетені у приміщ.	6.К-сть виборців, які отримали бюлетені за місцем перебув.	7.Загальна к-сть виборців, які отримали бюлетені	8.К-сть бюлетенів, що не підлягають врахуванню	9.К-сть виборців, які взяли участь у голосуванні	10.К-сть бюлетенів, визнаних недійсними	ЗеленськийВолодимир	ПорошенкоПетро	Дата та час протоколу	oblast	tvo
210200	2320	2283	24	1394	909	17	926	0	926	20	805	101	22.04.2019 01:20	Закарпатська область	71
210201	2384	2357	23	1252	1111	21	1132	0	1132	30	966	136	22.04.2019 01:07	Закарпатська область	71
210202	2224	2185	26	1351	850	23	873	0	873	11	756	106	22.04.2019 01:20	Закарпатська область	71
210479	2080	2064	12	1185	885	10	895	0	895	31	684	180	22.04.2019 00:15	Закарпатська область	71
210480	1840	1825	10	1031	803	6	809	0	809	22	641	146	22.04.2019 00:15	Закарпатська область	71
210481	2240	2209	10	1331	899	10	909	0	909	24	712	173	22.04.2019 00:17	Закарпатська область	71
210504	1824	1812	15	1065	750	9	759	0	759	19	672	68	22.04.2019 00:10	Закарпатська область	71
210516	1248	1231	20	734	495	19	514	0	514	9	451	54	22.04.2019 00:31	Закарпатська область	71
210522	2112	2086	23	1413	685	14	699	0	699	21	595	83	22.04.2019 00:16	Закарпатська область	71
210523	2320	2308	9	1507	807	6	813	0	813	15	722	76	22.04.2019 01:00	Закарпатська область	71
210524	864	849	1	580	283	1	284	0	284	4	257	23	22.04.2019 00:10	Закарпатська область	71
210529	1360	1335	14	791	556	13	569	0	569	13	488	68	22.04.2019 00:15	Закарпатська область	71
210534	1888	1863	39	1049	810	29	839	0	839	17	719	103	22.04.2019 00:30	Закарпатська область	71
210535	1424	1407	12	871	541	12	553	0	553	21	500	32	22.04.2019 00:05	Закарпатська область	71
210537	1888	1870	11	1089	788	11	799	0	799	18	686	95	22.04.2019 00:25	Закарпатська область	71
210538	576	561	3	299	274	3	277	0	277	13	241	23	22.04.2019 00:15	Закарпатська область	71
210616	1424	1400	23	638	768	18	786	0	786	16	665	105	22.04.2019 00:20	Закарпатська область	71
210617	1232	1211	16	630	588	14	602	0	602	12	480	110	22.04.2019 00:10	Закарпатська область	71
210618	1312	1294	26	746	549	17	566	0	566	13	456	97	22.04.2019 01:05	Закарпатська область	71
210619	1168	1142	25	780	377	11	388	0	388	4	359	25	22.04.2019 00:45	Закарпатська область	71
210620	672	655	11	405	256	11	267	0	267	1	215	51	22.04.2019 00:20	Закарпатська область	71
210621	2016	1992	17	1334	674	8	682	0	682	17	572	93	22.04.2019 00:45	Закарпатська область	71
210622	1616	1599	9	1152	459	5	464	0	464	19	396	49	22.04.2019 00:55	Закарпатська область	71
210623	2192	2165	19	1439	739	14	753	0	753	25	660	68	22.04.2019 00:38	Закарпатська область	71
210624	1072	1064	10	640	422	10	432	0	432	9	367	56	22.04.2019 00:27	Закарпатська область	71
210625	880	892	6	483	392	5	397	0	397	8	351	38	22.04.2019 00:15	Закарпатська область	71
210626	720	762	3	338	380	2	382	0	382	5	305	72	22.04.2019 00:05	Закарпатська область	71
210627	1856	1830	36	1122	713	21	734	0	734	22	621	91	22.04.2019 00:22	Закарпатська область	71
210628	1584	1576	33	883	679	22	701	0	701	21	623	57	22.04.2019 00:10	Закарпатська область	71
210629	1888	1863	23	971	898	19	917	0	917	21	822	74	22.04.2019 00:15	Закарпатська область	71
210630	1248	1233	19	733	498	17	515	0	515	9	459	47	22.04.2019 01:55	Закарпатська область	71
210631	1392	1372	43	642	707	43	750	0	750	18	667	65	22.04.2019 00:58	Закарпатська область	71
210632	1856	1838	31	1202	631	23	654	0	654	20	510	124	22.04.2019 00:56	Закарпатська область	71
210633	2368	2340	39	1465	876	27	903	0	903	8	765	130	22.04.2019 01:15	Закарпатська область	71
210634	688	670	13	427	251	10	261	0	261	4	212	45	22.04.2019 00:30	Закарпатська область	71
210635	1456	1445	8	927	521	8	529	0	529	11	469	49	22.04.2019 00:10	Закарпатська область	71
210636	1616	1588	26	872	722	22	744	0	744	26	647	71	22.04.2019 00:01	Закарпатська область	71
210637	1520	1495	44	910	572	38	610	0	610	23	528	59	22.04.2019 00:20	Закарпатська область	71
210638	2384	2358	34	1258	1100	26	1126	0	1126	17	1013	96	22.04.2019 00:45	Закарпатська область	71
210639	2032	2020	27	1144	870	18	888	0	888	25	816	47	22.04.2019 00:45	Закарпатська область	71
210640	1056	1033	11	545	500	11	511	0	511	6	438	67	22.04.2019 00:15	Закарпатська область	71
210641	2208	2194	26	1130	1055	23	1078	0	1078	18	1001	59	22.04.2019 00:15	Закарпатська область	71
210642	1264	1251	22	698	547	19	566	0	566	7	485	74	22.04.2019 00:50	Закарпатська область	71
210643	992	979	28	457	512	23	535	0	535	15	424	96	22.04.2019 00:15	Закарпатська область	71
210644	1760	1744	14	947	799	14	813	0	813	23	746	44	22.04.2019 00:05	Закарпатська область	71
210645	1136	1118	9	671	456	9	465	0	465	26	403	36	22.04.2019 00:25	Закарпатська область	71
210646	1824	1798	32	1009	799	16	815	0	815	25	741	49	22.04.2019 00:45	Закарпатська область	71
210647	1792	1762	25	992	788	12	800	0	800	24	735	41	22.04.2019 00:10	Закарпатська область	71
210648	1056	1036	24	547	493	16	509	0	509	12	473	24	22.04.2019 00:45	Закарпатська область	71
210649	2128	2096	50	1154	931	43	974	0	974	16	901	57	22.04.2019 00:23	Закарпатська область	71
210650	1152	1136	15	630	510	12	522	0	522	9	497	16	22.04.2019 01:20	Закарпатська область	71
210651	1408	1391	36	780	602	26	628	0	628	14	565	49	22.04.2019 00:50	Закарпатська область	71
210652	848	827	38	409	401	38	439	0	439	9	337	93	22.04.2019 00:25	Закарпатська область	71
210653	224	216	8	119	97	8	105	0	105	2	75	28	22.04.2019 00:50	Закарпатська область	71
210654	352	349	15	64	273	15	288	0	288	8	191	89	22.04.2019 00:20	Закарпатська область	71
210655	1744	1718	56	901	788	55	843	0	843	39	749	55	22.04.2019 00:15	Закарпатська область	71
210656	2256	2233	36	1176	1052	28	1080	0	1080	40	944	96	22.04.2019 00:15	Закарпатська область	71
210657	1744	1725	42	864	850	30	880	0	880	17	822	41	22.04.2019 00:25	Закарпатська область	71
210658	1984	1956	18	1180	791	13	804	0	804	24	616	164	22.04.2019 00:30	Закарпатська область	71
210659	1680	1652	26	933	727	20	747	0	747	33	563	151	22.04.2019 00:42	Закарпатська область	71
210660	336	322	1	188	147	1	148	0	148	3	103	42	22.04.2019 00:20	Закарпатська область	71
210661	2096	2073	27	1142	928	26	954	0	954	31	810	113	22.04.2019 00:05	Закарпатська область	71
210662	1904	1874	36	1162	715	27	742	0	742	21	645	76	22.04.2019 00:25	Закарпатська область	71
210663	1600	1578	32	886	696	18	714	0	714	19	590	105	22.04.2019 00:10	Закарпатська область	71
210784	304	302	0	157	147	0	147	0	147	3	136	8	22.04.2019 00:25	Закарпатська область	71
210785	1376	1366	5	785	586	5	591	0	591	23	511	57	22.04.2019 00:17	Закарпатська область	71
210786	640	627	0	291	349	0	349	0	349	9	290	50	22.04.2019 00:15	Закарпатська область	71
210787	1680	1654	9	703	971	6	977	0	977	39	761	177	22.04.2019 00:42	Закарпатська область	71
210788	1488	1475	10	673	807	8	815	0	815	22	621	172	22.04.2019 00:15	Закарпатська область	71
210789	1424	1411	3	663	759	2	761	0	761	20	603	138	22.04.2019 00:15	Закарпатська область	71
210790	1328	1309	8	675	648	5	653	0	653	24	494	135	22.04.2019 00:30	Закарпатська область	71
210791	1072	1055	8	518	549	5	554	0	554	25	380	149	22.04.2019 00:25	Закарпатська область	71
210792	1344	1334	4	773	567	4	571	0	571	15	471	85	22.04.2019 00:15	Закарпатська область	71
210793	1200	1189	4	668	530	2	532	0	532	9	433	90	22.04.2019 00:58	Закарпатська область	71
210794	1568	1558	8	734	827	7	834	0	834	25	646	163	22.04.2019 00:42	Закарпатська область	71
210795	1680	1646	19	775	892	13	905	0	905	28	677	200	22.04.2019 00:10	Закарпатська область	71
210796	1184	1185	7	516	662	6	668	0	668	31	525	112	22.04.2019 00:22	Закарпатська область	71
210797	1456	1445	10	700	748	8	756	0	756	19	605	132	22.04.2019 00:20	Закарпатська область	71
210798	2000	1974	8	1049	943	8	951	0	951	36	778	137	22.04.2019 00:34	Закарпатська область	71
210799	1584	1579	29	751	830	3	833	0	833	23	653	157	22.04.2019 00:52	Закарпатська область	71
210800	2112	2094	4	1029	1079	4	1083	0	1083	40	836	207	22.04.2019 00:35	Закарпатська область	71
210801	1200	1185	1	708	491	1	492	0	492	13	433	46	22.04.2019 00:20	Закарпатська область	71
210805	800	782	13	420	367	13	380	0	380	6	331	43	22.04.2019 00:40	Закарпатська область	71
210806	864	850	6	459	399	6	405	0	405	13	359	33	22.04.2019 00:10	Закарпатська область	71
210398	2096	2082	12	1680	412	4	416	0	416	8	391	17	22.04.2019 01:15	Закарпатська область	72
210399	288	280	1	238	49	1	50	0	50	0	46	4	22.04.2019 00:15	Закарпатська область	72
210400	2384	2351	14	2099	280	5	285	0	285	9	249	27	22.04.2019 00:15	Закарпатська область	72
210401	2176	2164	13	1936	238	2	240	0	240	1	225	14	22.04.2019 00:20	Закарпатська область	72
210402	896	885	0	785	111	0	111	0	111	3	81	27	22.04.2019 00:10	Закарпатська область	72
210403	1280	1257	17	758	508	14	522	0	522	8	443	71	22.04.2019 00:55	Закарпатська область	72
210404	704	689	5	568	132	4	136	0	136	1	128	7	22.04.2019 00:30	Закарпатська область	72
210405	2160	2134	24	1480	664	16	680	0	680	17	581	82	22.04.2019 00:50	Закарпатська область	72
210406	1776	1757	13	1091	679	6	685	0	685	17	628	40	22.04.2019 01:20	Закарпатська область	72
210407	1072	1058	10	826	245	1	246	0	246	2	220	24	22.04.2019 00:20	Закарпатська область	72
210408	2416	2382	38	1489	893	34	927	0	927	15	823	89	22.04.2019 00:30	Закарпатська область	72
210409	2304	2272	39	1379	893	32	925	0	925	29	651	245	22.04.2019 02:11	Закарпатська область	72
210410	2304	2286	82	1303	930	71	1001	0	1001	14	695	292	22.04.2019 00:25	Закарпатська область	72
210411	2336	2300	63	1398	889	49	938	0	938	19	731	188	22.04.2019 00:15	Закарпатська область	72
210412	1792	1775	21	1135	642	15	657	0	657	18	420	219	22.04.2019 00:10	Закарпатська область	72
210413	1264	1240	20	852	395	17	412	0	412	4	288	120	22.04.2019 00:10	Закарпатська область	72
210414	832	823	45	425	369	38	407	0	407	7	313	87	22.04.2019 00:32	Закарпатська область	72
210415	1504	1474	40	882	587	35	622	0	622	17	455	150	22.04.2019 02:15	Закарпатська область	72
210416	432	418	5	221	206	5	211	0	211	7	173	31	22.04.2019 00:35	Закарпатська область	72
210417	2016	2046	30	1082	906	28	934	0	934	21	736	177	22.04.2019 00:18	Закарпатська область	72
210418	2240	2209	20	1405	818	17	835	0	835	16	660	159	22.04.2019 00:15	Закарпатська область	72
210419	1936	1916	12	1430	498	8	506	0	506	4	437	65	22.04.2019 00:32	Закарпатська область	72
210420	1584	1565	21	1000	567	17	584	0	584	5	516	63	22.04.2019 00:45	Закарпатська область	72
210421	1264	1253	15	815	438	11	449	0	449	9	369	71	22.04.2019 00:21	Закарпатська область	72
210422	1840	1814	28	1125	690	25	715	0	715	15	566	134	22.04.2019 00:30	Закарпатська область	72
210423	1040	1018	9	432	601	7	608	0	608	5	507	96	22.04.2019 00:30	Закарпатська область	72
210424	1264	1241	2	773	489	2	491	0	491	6	389	96	22.04.2019 04:27	Закарпатська область	72
210425	2128	2097	18	1113	1002	13	1015	0	1015	29	658	328	22.04.2019 00:30	Закарпатська область	72
210426	2256	2219	12	1620	629	7	636	0	636	20	448	168	22.04.2019 01:15	Закарпатська область	72
210427	2368	2364	16	1384	973	11	984	0	984	36	657	291	22.04.2019 00:10	Закарпатська область	72
210428	2416	2397	13	1729	679	8	687	0	687	13	514	160	22.04.2019 00:50	Закарпатська область	72
210429	2016	1994	16	1279	724	13	737	0	737	16	538	183	22.04.2019 02:00	Закарпатська область	72
210430	1360	1339	22	814	525	21	546	0	546	14	430	102	22.04.2019 00:15	Закарпатська область	72
210431	1744	1818	26	921	800	23	823	0	823	11	612	200	22.04.2019 00:40	Закарпатська область	72
210432	1120	1101	7	739	374	7	381	0	381	7	287	87	22.04.2019 00:05	Закарпатська область	72
210433	2000	1983	46	1069	892	39	931	0	931	17	665	249	22.04.2019 00:40	Закарпатська область	72
210434	2384	2354	24	982	1386	16	1402	0	1402	34	1012	356	22.04.2019 02:30	Закарпатська область	72
210435	576	568	8	280	290	6	296	0	296	14	186	96	22.04.2019 03:46	Закарпатська область	72
210436	688	684	6	294	388	6	394	0	394	7	261	126	22.04.2019 02:30	Закарпатська область	72
210437	1792	1769	24	1023	748	21	769	0	769	18	545	206	22.04.2019 00:35	Закарпатська область	72
210438	1136	1114	5	599	532	5	537	0	537	16	405	116	22.04.2019 00:12	Закарпатська область	72
210439	2160	2132	31	879	1250	31	1281	0	1281	34	1023	224	22.04.2019 00:43	Закарпатська область	72
210474	2288	2275	12	1369	913	6	919	0	919	33	774	112	22.04.2019 00:25	Закарпатська область	72
210475	2032	2017	13	1279	747	6	753	0	753	24	647	82	22.04.2019 00:25	Закарпатська область	72
210476	1888	1880	3	997	888	3	891	0	891	15	727	149	22.04.2019 01:00	Закарпатська область	72
210477	1616	1595	5	934	678	4	682	0	682	17	536	129	22.04.2019 00:15	Закарпатська область	72
210478	1232	1219	14	756	462	14	476	0	476	11	434	31	22.04.2019 00:15	Закарпатська область	72
210482	896	876	3	563	331	2	333	0	333	9	305	19	22.04.2019 00:19	Закарпатська область	72
210483	1872	1849	9	1087	776	9	785	0	785	11	659	115	22.04.2019 00:34	Закарпатська область	72
210484	2080	2052	5	1248	827	5	832	0	832	17	702	113	22.04.2019 00:05	Закарпатська область	72
210485	2336	2304	9	1466	864	6	870	0	870	22	772	76	22.04.2019 00:45	Закарпатська область	72
210486	1488	1469	3	879	607	2	609	0	609	13	518	78	22.04.2019 00:10	Закарпатська область	72
210487	2272	2249	8	1610	655	7	662	0	662	18	602	42	22.04.2019 00:15	Закарпатська область	72
210488	2272	2247	1	1632	639	1	640	0	640	14	572	54	22.04.2019 00:02	Закарпатська область	72
210489	1760	1760	3	1477	282	1	283	0	283	9	263	11	22.04.2019 00:15	Закарпатська область	72
210490	1792	1762	5	1087	700	5	705	0	705	19	585	101	22.04.2019 00:20	Закарпатська область	72
210491	2000	1983	6	1171	825	4	829	0	829	21	693	115	22.04.2019 00:30	Закарпатська область	72
210492	1840	1816	6	1124	711	5	716	0	716	22	609	85	22.04.2019 00:10	Закарпатська область	72
210493	1040	1021	16	501	525	14	539	0	539	11	396	132	22.04.2019 00:15	Закарпатська область	72
210494	1936	1920	25	1172	742	22	764	0	764	12	657	95	22.04.2019 00:18	Закарпатська область	72
210495	1968	1948	6	1351	611	6	617	0	617	10	510	97	22.04.2019 02:15	Закарпатська область	72
210496	784	776	19	356	409	19	428	0	428	8	388	32	22.04.2019 00:05	Закарпатська область	72
210497	1280	1262	13	861	414	5	419	0	419	10	381	28	22.04.2019 00:15	Закарпатська область	72
210498	1760	1747	10	1080	674	6	680	0	680	15	575	90	22.04.2019 00:25	Закарпатська область	72
210499	800	790	11	447	342	11	353	0	353	1	316	36	22.04.2019 00:27	Закарпатська область	72
210500	304	300	3	168	133	3	136	0	136	0	122	14	22.04.2019 00:30	Закарпатська область	72
210501	1168	1148	3	810	355	3	358	0	358	6	326	26	22.04.2019 00:15	Закарпатська область	72
210502	2496	2482	48	1522	940	34	974	0	974	29	750	195	22.04.2019 00:15	Закарпатська область	72
210503	816	801	19	499	299	18	317	0	317	7	233	77	22.04.2019 02:18	Закарпатська область	72
210505	2480	2453	13	1793	678	9	687	0	687	10	616	61	22.04.2019 00:20	Закарпатська область	72
210506	1584	1561	9	1154	427	3	430	0	430	15	373	42	22.04.2019 00:25	Закарпатська область	72
210507	2400	2375	6	2141	257	2	259	0	259	9	212	38	22.04.2019 00:04	Закарпатська область	72
210508	1984	1955	1	1890	94	0	94	0	94	1	85	8	22.04.2019 00:45	Закарпатська область	72
210509	2256	2247	10	1598	653	5	658	0	658	8	579	71	22.04.2019 01:58	Закарпатська область	72
210510	2320	2304	7	1818	500	2	502	0	502	9	454	39	22.04.2019 00:05	Закарпатська область	72
210511	2192	2183	0	1851	341	0	341	0	341	4	323	14	22.04.2019 00:20	Закарпатська область	72
210512	1728	1715	5	1447	277	4	281	0	281	4	263	14	22.04.2019 00:50	Закарпатська область	72
210513	1840	1822	3	1573	264	3	267	0	267	3	247	17	22.04.2019 00:53	Закарпатська область	72
210514	1008	989	0	937	71	0	71	0	71	0	61	10	22.04.2019 00:11	Закарпатська область	72
210515	1984	1970	26	1092	867	25	892	0	892	23	802	67	22.04.2019 01:10	Закарпатська область	72
210517	1680	1652	18	1010	654	16	670	0	670	9	605	56	22.04.2019 01:30	Закарпатська область	72
210518	1120	1104	22	723	379	18	397	0	397	9	363	25	22.04.2019 01:10	Закарпатська область	72
210519	1472	1443	8	777	687	8	695	0	695	10	643	42	22.04.2019 00:30	Закарпатська область	72
210520	1840	1824	60	999	781	60	841	0	841	22	661	158	22.04.2019 00:13	Закарпатська область	72
210521	2384	2357	39	1512	836	36	872	0	872	9	775	88	22.04.2019 00:15	Закарпатська область	72
210525	2384	2365	27	1259	1098	27	1125	0	1125	10	562	553	22.04.2019 00:05	Закарпатська область	72
210526	1968	1935	15	1133	820	15	835	0	835	18	707	110	22.04.2019 00:30	Закарпатська область	72
210527	704	684	11	451	242	11	253	0	253	3	214	36	22.04.2019 00:10	Закарпатська область	72
210528	912	899	5	613	294	5	299	0	299	10	261	28	22.04.2019 01:15	Закарпатська область	72
210530	2448	2416	48	1365	1044	39	1083	0	1083	29	908	146	22.04.2019 00:50	Закарпатська область	72
210531	960	943	13	497	453	10	463	0	463	4	411	48	22.04.2019 00:13	Закарпатська область	72
210532	960	954	23	526	417	17	434	0	434	5	322	107	22.04.2019 00:27	Закарпатська область	72
210533	400	390	3	134	263	3	266	0	266	3	163	100	22.04.2019 00:54	Закарпатська область	72
210536	2256	2228	20	1587	657	12	669	0	669	18	546	105	22.04.2019 00:25	Закарпатська область	72
210539	2400	2370	9	1537	857	6	863	0	863	10	735	118	22.04.2019 00:20	Закарпатська область	72
210540	2432	2402	5	1730	697	5	702	0	702	12	642	48	22.04.2019 00:30	Закарпатська область	72
210541	1680	1659	5	1131	544	5	549	0	549	9	496	44	22.04.2019 00:45	Закарпатська область	72
210542	1840	1822	0	1657	183	0	183	0	183	3	158	22	22.04.2019 00:20	Закарпатська область	72
210543	1808	1776	26	1058	727	23	750	0	750	10	652	88	22.04.2019 01:30	Закарпатська область	72
210544	1504	1492	15	974	515	15	530	0	530	9	455	66	22.04.2019 01:10	Закарпатська область	72
210545	944	931	27	551	369	24	393	0	393	7	338	48	22.04.2019 00:25	Закарпатська область	72
210546	1856	1835	19	1201	637	18	655	0	655	26	579	50	22.04.2019 00:20	Закарпатська область	72
210547	1856	1841	26	1107	723	26	749	0	749	17	687	45	22.04.2019 01:47	Закарпатська область	72
210809	1440	1424	12	960	472	8	480	0	480	8	422	50	22.04.2019 01:15	Закарпатська область	72
210001	496	517	6	309	183	4	187	0	187	4	172	11	22.04.2019 00:30	Закарпатська область	73
210002	1270	1286	11	799	460	11	471	0	471	5	458	8	22.04.2019 00:10	Закарпатська область	73
210006	1040	1026	11	689	343	8	351	0	351	9	333	9	22.04.2019 00:20	Закарпатська область	73
210007	1456	1442	7	924	528	4	532	0	532	15	495	22	22.04.2019 00:40	Закарпатська область	73
210008	1104	1102	5	767	333	4	337	0	337	6	314	17	21.04.2019 22:30	Закарпатська область	73
210009	2272	2255	5	1797	470	5	475	0	475	19	446	10	22.04.2019 00:10	Закарпатська область	73
210010	848	823	10	450	390	8	398	0	398	10	308	80	22.04.2019 00:05	Закарпатська область	73
210011	2016	2004	11	1378	628	10	638	0	638	17	597	24	22.04.2019 02:10	Закарпатська область	73
210014	576	570	8	349	220	7	227	0	227	4	219	4	21.04.2019 22:25	Закарпатська область	73
210016	752	754	12	479	264	9	273	0	273	8	256	9	21.04.2019 21:50	Закарпатська область	73
210018	1584	1578	1	1059	524	1	525	0	525	8	503	14	22.04.2019 00:55	Закарпатська область	73
210020	672	666	7	358	308	6	314	0	314	6	262	46	21.04.2019 21:15	Закарпатська область	73
210022	704	684	8	434	265	5	270	0	270	1	258	11	21.04.2019 21:10	Закарпатська область	73
210023	528	511	23	297	211	20	231	0	231	2	215	14	22.04.2019 00:08	Закарпатська область	73
210024	256	241	23	79	156	21	177	0	177	3	154	20	22.04.2019 00:05	Закарпатська область	73
210025	1520	1499	16	965	547	8	555	0	555	12	508	35	21.04.2019 22:10	Закарпатська область	73
210026	560	545	13	315	234	11	245	0	245	5	210	30	22.04.2019 00:11	Закарпатська область	73
210027	448	441	12	240	196	12	208	0	208	1	170	37	22.04.2019 00:10	Закарпатська область	73
210028	656	645	8	355	294	7	301	0	301	3	291	7	21.04.2019 21:45	Закарпатська область	73
210033	592	575	4	408	183	1	184	0	184	3	172	9	21.04.2019 20:35	Закарпатська область	73
210034	704	694	13	446	249	9	258	0	258	4	233	21	22.04.2019 00:57	Закарпатська область	73
210036	2096	2151	9	1418	674	4	678	0	678	20	593	65	22.04.2019 00:15	Закарпатська область	73
210076	2224	2205	4	1020	1200	4	1204	0	1204	26	970	208	21.04.2019 22:30	Закарпатська область	73
210077	1552	1532	7	922	625	5	630	0	630	15	552	63	22.04.2019 00:12	Закарпатська область	73
210078	2448	2419	5	1612	831	5	836	0	836	13	676	147	22.04.2019 01:30	Закарпатська область	73
210079	720	715	4	304	412	4	416	0	416	9	356	51	22.04.2019 00:44	Закарпатська область	73
210080	1744	1716	6	1177	562	5	567	0	567	28	470	69	22.04.2019 00:04	Закарпатська область	73
210081	1360	1342	8	701	651	8	659	0	659	17	540	102	22.04.2019 00:12	Закарпатська область	73
210082	1184	1167	12	621	553	10	563	0	563	18	470	75	22.04.2019 00:06	Закарпатська область	73
210083	1344	1340	15	1013	317	14	331	0	331	3	324	4	21.04.2019 22:15	Закарпатська область	73
210084	720	725	0	545	175	0	175	0	175	7	164	4	21.04.2019 21:05	Закарпатська область	73
210085	1568	1548	7	777	784	7	791	0	791	9	697	85	21.04.2019 22:20	Закарпатська область	73
210086	448	443	3	225	221	2	223	0	223	3	185	35	22.04.2019 00:03	Закарпатська область	73
210087	1792	1780	9	1270	515	7	522	0	522	11	502	9	21.04.2019 21:10	Закарпатська область	73
210088	1520	1500	2	887	631	2	633	0	633	19	547	67	22.04.2019 00:15	Закарпатська область	73
210089	1136	1139	0	680	456	0	456	0	456	17	433	6	21.04.2019 20:35	Закарпатська область	73
210090	976	967	37	487	455	34	489	0	489	13	409	67	21.04.2019 21:00	Закарпатська область	73
210091	1184	1168	21	677	493	14	507	0	507	12	474	21	22.04.2019 00:10	Закарпатська область	73
210092	1344	1229	3	883	458	3	461	0	461	15	425	21	21.04.2019 21:10	Закарпатська область	73
210093	672	654	2	387	283	2	285	0	285	7	270	8	21.04.2019 21:07	Закарпатська область	73
210094	288	279	0	162	126	0	126	0	126	6	119	1	21.04.2019 21:00	Закарпатська область	73
210095	416	411	0	290	126	0	126	0	126	2	121	3	21.04.2019 20:05	Закарпатська область	73
210096	240	229	0	170	70	0	70	0	70	0	57	13	21.04.2019 21:20	Закарпатська область	73
210097	976	962	42	556	383	37	420	0	420	6	368	46	21.04.2019 22:15	Закарпатська область	73
210098	1376	1364	21	869	486	21	507	0	507	16	459	32	21.04.2019 21:03	Закарпатська область	73
210099	2000	1986	4	1172	824	4	828	0	828	27	683	118	21.04.2019 22:50	Закарпатська область	73
210100	1520	1499	1	853	666	1	667	0	667	19	525	123	22.04.2019 00:20	Закарпатська область	73
210101	2304	2276	75	1094	1140	70	1210	0	1210	24	1014	172	22.04.2019 00:38	Закарпатська область	73
210102	1952	1934	12	1405	535	12	547	0	547	13	468	66	22.04.2019 00:10	Закарпатська область	73
210103	1760	1741	13	997	755	8	763	0	763	24	642	97	22.04.2019 00:09	Закарпатська область	73
210104	560	557	1	304	255	1	256	0	256	5	246	5	21.04.2019 20:45	Закарпатська область	73
210105	304	302	1	163	140	1	141	0	141	5	127	9	21.04.2019 21:15	Закарпатська область	73
210106	1600	1591	4	1118	480	2	482	0	482	4	468	10	22.04.2019 00:32	Закарпатська область	73
210107	1664	1643	9	1233	426	5	431	0	431	9	416	6	22.04.2019 00:10	Закарпатська область	73
210108	592	575	0	422	170	0	170	0	170	3	162	5	21.04.2019 20:37	Закарпатська область	73
210109	1120	1097	16	647	457	16	473	0	473	13	388	72	21.04.2019 21:30	Закарпатська область	73
210110	1792	1768	18	837	940	15	955	0	955	29	805	121	22.04.2019 00:10	Закарпатська область	73
210111	432	417	3	241	189	2	191	0	191	3	169	19	22.04.2019 00:01	Закарпатська область	73
210112	1216	1201	19	666	534	16	550	0	550	18	477	55	21.04.2019 22:10	Закарпатська область	73
210113	1680	1656	11	992	678	10	688	0	688	12	618	58	22.04.2019 00:05	Закарпатська область	73
210114	1664	1637	8	987	669	8	677	0	677	15	630	32	22.04.2019 00:20	Закарпатська область	73
210115	1296	1281	7	723	566	7	573	0	573	22	488	63	22.04.2019 01:35	Закарпатська область	73
210116	1520	1503	12	851	658	11	669	0	669	20	611	38	21.04.2019 22:00	Закарпатська область	73
210117	640	624	6	316	319	5	324	0	324	9	296	19	22.04.2019 00:05	Закарпатська область	73
210118	304	287	3	183	118	3	121	0	121	2	104	15	21.04.2019 23:19	Закарпатська область	73
210119	1664	1650	23	999	650	15	665	0	665	11	598	56	21.04.2019 21:28	Закарпатська область	73
210120	528	509	23	244	264	20	284	0	284	7	253	24	21.04.2019 21:45	Закарпатська область	73
210121	1632	1618	14	866	752	14	766	0	766	31	651	84	21.04.2019 22:00	Закарпатська область	73
210122	2288	2263	13	1533	744	11	755	0	755	18	698	39	21.04.2019 21:40	Закарпатська область	73
210123	1856	1842	28	1144	685	27	712	0	712	21	612	79	22.04.2019 01:00	Закарпатська область	73
210124	1200	1227	4	773	424	3	427	0	427	9	390	28	21.04.2019 21:00	Закарпатська область	73
210125	1296	1283	6	997	295	4	299	0	299	3	284	12	21.04.2019 22:40	Закарпатська область	73
210126	1824	1800	20	997	812	15	827	0	827	15	674	138	22.04.2019 00:03	Закарпатська область	73
210127	1856	1830	12	1033	811	12	823	0	823	19	728	76	22.04.2019 00:10	Закарпатська область	73
210128	2480	2455	8	2025	448	7	455	0	455	10	397	48	22.04.2019 00:35	Закарпатська область	73
210129	2320	2297	4	1251	1066	3	1069	0	1069	34	854	181	22.04.2019 00:15	Закарпатська область	73
210130	2448	2448	167	1226	1081	141	1222	0	1222	45	974	203	22.04.2019 00:20	Закарпатська область	73
210131	1472	1459	7	791	674	7	681	0	681	24	559	98	22.04.2019 00:05	Закарпатська область	73
210132	2192	2188	6	1211	975	6	981	0	981	26	813	142	22.04.2019 00:30	Закарпатська область	73
210133	1312	1291	3	726	584	2	586	0	586	28	477	81	22.04.2019 00:16	Закарпатська область	73
210134	1744	1725	8	862	875	7	882	0	882	31	716	135	21.04.2019 21:50	Закарпатська область	73
210135	1584	1592	9	861	717	6	723	0	723	13	615	95	22.04.2019 00:05	Закарпатська область	73
210136	2032	1996	6	1089	939	4	943	0	943	19	780	144	22.04.2019 00:10	Закарпатська область	73
210137	2048	2026	7	1054	988	6	994	0	994	26	800	168	22.04.2019 00:20	Закарпатська область	73
210138	2160	2133	3	1081	1077	2	1079	0	1079	34	830	215	21.04.2019 21:30	Закарпатська область	73
